"Class","Order","Family","Genus","Species","Study","M (kg)","FMR (kJ / day)"
"Mammalia","Carnivora","Mustelidae","Martes","americana","Gilbert et al 2009",1.35,910
"Mammalia","Carnivora","Mustelidae","Martes","americana","Gilbert et al 2009",0.698,758
"Mammalia","Carnivora","Mustelidae","Martes","americana","Gilbert et al 2009",0.748,982
"Mammalia","Carnivora","Mustelidae","Martes","americana","Gilbert et al 2009",1.06,854
"Aves","Galliformes","Odontophoridae","Callipepla","gambelii","Goldstein & Nagy 1985",0.136,80.059392
"Aves","Galliformes","Odontophoridae","Callipepla","gambelii","Goldstein & Nagy 1985",0.1565,114.336396
"Aves","Galliformes","Odontophoridae","Callipepla","gambelii","Goldstein & Nagy 1985",0.144,99.149184
"Aves","Galliformes","Odontophoridae","Callipepla","gambelii","Goldstein & Nagy 1985",0.144,87.03936
"Aves","Galliformes","Odontophoridae","Callipepla","gambelii","Goldstein & Nagy 1985",0.148,91.012896
"Aves","Galliformes","Odontophoridae","Callipepla","gambelii","Goldstein & Nagy 1985",0.132,73.541952
"Mammalia","Artiodactyla","Cervidae","Rangifer","tarandus","Gotaas et al 2000",62.8,13210
"Mammalia","Artiodactyla","Cervidae","Rangifer","tarandus","Gotaas et al 2000",64.5,16760
"Mammalia","Artiodactyla","Cervidae","Rangifer","tarandus","Gotaas et al 2000",55.8,17960
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",1.82,580.58
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",3.2,1088
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",3.49,973.71
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",2.92,829.28
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",1.97,494.47
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",4.45,222.5
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",3.98,210.94
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",3.48,643.8
"Mammalia","Monotremata","Tachyglossidae","Tachyglossus","aculeatus","Green et al 1992",4.37,659.87
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0818,139.06
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0603,94.671
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.093,84.816
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0865,92.209
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0838,121.091
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0974,172.9824
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0822,171.0582
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.081,144.747
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.1023,195.2907
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0791,160.0984
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.0755,144.7335
"Mammalia","Rodentia","Cricetidae","Arvicola","amphibius","Grenot et al 1984",0.076,150.252
"Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","Haggarty et al 1998",104.5,28090
"Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","Haggarty et al 1998",108.5,24580
"Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","Haggarty et al 1998",108.25,23360
"Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","Haggarty et al 1998",107,24490
"Mammalia","Artiodactyla","Cervidae","Cervus","elaphus","Haggarty et al 1998",109.25,25600
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.2022,470
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.1691,383
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.1605,326
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.1772,481
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.17,399
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.1769,388
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.1777,507
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.1545,337
"Aves","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Hodum et al 1998",0.1778,426
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.165958690743756,245.7614396835
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.199526231496888,378.890522877588
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.186208713666287,385.046998615443
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.181970085860998,412.585292440245
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.208929613085404,420.255825717423
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.199526231496888,465.065092094073
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.208929613085404,472.621791940392
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.208929613085404,400.418138652153
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.177827941003892,258.531664602948
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.181970085860998,259.724992547079
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.173780082874938,273.850628806958
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.173780082874938,305.853702696088
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.190546071796325,349.55357042659
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.186208713666287,364.345778962295
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.186208713666287,378.01909885673
"Aves","Falconiformes","Falconidae","Falco","tinnunculus","Jonsson et al 1996",0.199526231496888,378.01909885673
"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","carbo","Keller & Visser 1999",2.275,2307
"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","carbo","Keller & Visser 1999",2.403,1927
"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","carbo","Keller & Visser 1999",2.165,2052
"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","carbo","Keller & Visser 1999",1.835,2244
"Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","carbo","Keller & Visser 1999",1.93,1941
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.14,281
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.13,419
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.116,372
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.144,383
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.148,372
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.139,313
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.12,339
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.125,365
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.117,294
"Aves","Charadriiformes","Laridae","Sterna","hirundo","Klaassen et al 1992",0.122,418
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",15.85,15748.56
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",11.65,2415.744
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",13.4,11924.928
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",14,12579.84
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",12.55,11602.224
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",15.7,12208.32
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",13.7,11126.592
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",14.35,11778.48
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",12,7257.6
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",13.05,9922.176
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",14.45,5992.704
"Aves","Sphenisciformes","Spheniscidae","Aptenodytes","patagonicus","Kooyman et al 1992",11.3,2733.696
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.405,486.7
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.466,398.8
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.385,296.3
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.362,436
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.492,413.5
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.428,247.7
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.446,291.8
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.41,278.7
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.467,322.6
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.462,424.4
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.453,341.3
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.546,592.9
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.687,511.8
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.47,363.8
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.411,356.5
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.4,323.8
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.366,234.7
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.4,334.9
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.679,655
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.55,455.5
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.465,346.7
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.485,583.9
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.62,556.4
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.679,795.4
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.654,528.2
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.588,507.6
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.585,491.7
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.49,354.7
"Mammalia","Rodentia","Caviidae","Cavia","magna","Künkele et al 2005",0.56,409.5
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0755,109.5
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0825,175
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.077,157.2
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.072,146.6
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0705,138.4
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0815,133.3
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0693,113.2
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.08765,177.45
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0713,125.45
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.07875,109.15
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0758,118.2
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0808,253.9
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0745,79.7
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0703,162.2
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0749,91.3
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0913,126.8
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.078,118.7
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.0688,102.85
"Mammalia","Chiroptera","Phyllostomidae","Phyllostomus","hastatus","Kunz et al 1998",0.07255,102.8
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.41,801.79272
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.375,770.715
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.4,1006.4448
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.385,884.78082
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.39,945.65952
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.33,961.85232
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.355,468.71928
"Aves","Charadriiformes","Alcidae","Cepphus","grylle","Mehlum et al 1993",0.385,875.9682
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0273,93.6
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.023,95.2
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0244,88.2
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.022,87.1
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.023,73.5
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.025,96.9
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0247,68.4
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0218,73.2
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0213,70
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0226,88
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0241,106.7
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0278,96.8
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0256,83.3
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0261,93.4
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.024,87
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0261,104.8
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0235,93.7
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0232,87.9
"Aves","Passeriformes","Muscicapidae","Oenanthe","oenanthe","Moreno 1989",0.0267,73
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Carlson 1989",0.0149,45.38
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Carlson 1989",0.0145,67.85
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Carlson 1989",0.0157,82.53
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Carlson 1989",0.0159,72.37
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Carlson 1989",0.0143,68.37
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Carlson 1989",0.0145,71.58
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0139,62.78
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0149,69.3
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0149,46.72
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0142,63
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0137,51.28
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0142,60.49
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0147,58.97
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0136,64.78
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0133,52.46
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0139,65.38
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0142,57.49
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0141,71.89
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0148,73.13
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0137,52.57
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0133,55.29
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0151,55.74
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0152,73.2
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno & Sanz 1994",0.0159,58.1
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0113,47.47
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0114,40.59
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0113,33.65
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0107,36.1
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0115,47.95
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0105,38.74
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0111,41.59
"Aves","Passeriformes","Paridae","Lophophanes","cristatus","Moreno et al 1988",0.0108,38.71
"Aves","Passeriformes","Paridae","Periparus","ater","Moreno et al 1988",0.0108,62.22
"Aves","Passeriformes","Paridae","Periparus","ater","Moreno et al 1988",0.0094,38.57
"Aves","Passeriformes","Paridae","Periparus","ater","Moreno et al 1988",0.0091,46.31
"Aves","Passeriformes","Paridae","Periparus","ater","Moreno et al 1988",0.0087,43.68
"Aves","Passeriformes","Paridae","Periparus","ater","Moreno et al 1988",0.0099,49.48
"Aves","Passeriformes","Paridae","Periparus","ater","Moreno et al 1988",0.0091,44.04
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.0116,46.36
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.0101,42.82
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.012,45.98
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.012,31.85
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.0111,39.31
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.0107,40.92
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.0117,39.35
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.0108,40.85
"Aves","Passeriformes","Paridae","Poecile","montanus","Moreno et al 1988",0.0118,43.57
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0149,70.5
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0159,79.5
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0156,87
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0162,104.1
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0165,72.8
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0174,70.5
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0163,80.6
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.016,72.7
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0142,75.4
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0156,73.2
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.0155,75.9
"Aves","Passeriformes","Muscicapidae","Ficedula","albicollis","Moreno et al 1991",0.017,80.6
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0131,84.3
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0124,72.3
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0122,74.6
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0126,64.6
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0129,65.1
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0134,78.2
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0125,67.9
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0123,73.1
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0126,81.6
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0126,78.9
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0123,83.2
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.012,64
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0133,72.7
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0119,69.2
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0123,70
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0125,68.2
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.012,70
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0128,62.4
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0126,71.6
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0143,63.6
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0135,81.7
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0132,75
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0124,67.1
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.012,69.3
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0126,65
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.013,60.3
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0127,72
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.013,69.4
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0123,72.8
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.013,84.5
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0121,62.8
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0124,72.1
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0116,59.8
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0138,77.9
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0118,55.9
"Aves","Passeriformes","Muscicapidae","Ficedula","hypoleuca","Moreno et al 1995",0.0126,72.3
"Aves","Charadriiformes","Scolopacidae","Arenaria","interpres","Morrison et al 1997",0.09725,284.4
"Aves","Charadriiformes","Scolopacidae","Arenaria","interpres","Morrison et al 1997",0.118,393.5
"Aves","Charadriiformes","Scolopacidae","Arenaria","interpres","Morrison et al 1997",0.11,329.15
"Aves","Charadriiformes","Scolopacidae","Calidris","canutus","Morrison et al 1997",0.16,245.5
"Aves","Charadriiformes","Scolopacidae","Calidris","canutus","Morrison et al 1997",0.1275,257.2
"Mammalia","Diprotodontia","Macropodidae","Petrogale","lateralis","Nagy & Bradshaw 2000",2.205,610
"Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus","Nagy & Martin 1985",10.4,1804.6912
"Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus","Nagy & Martin 1985",10.1,2045.03184
"Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus","Nagy & Martin 1985",11.6666666666667,2219.27488
"Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus","Nagy & Martin 1985",7.06666666666667,1799.4592
"Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus","Nagy & Martin 1985",8.56666666666667,1789.8672
"Mammalia","Diprotodontia","Phascolarctidae","Phascolarctos","cinereus","Nagy & Martin 1985",7.83333333333333,2551.6464
"Mammalia","Primates","Atelidae","Alouatta","palliata","Nagy & Milton 1979",6.25,2531.25
"Mammalia","Primates","Atelidae","Alouatta","palliata","Nagy & Milton 1979",6.7,1922.9
